Name,Surname,PESEL,Examination Date,Examination Name,Systolic Pressure,Diastolic Pressure,Body Height,Body Weight,BMI,Heart Rate
Lisa,Simmons,81897147241,"PyQt5.QtCore.QDateTime(2018, 1, 8, 16, 54, 27)",Heart Rate,0,0,0,0,0,71
Lisa,Simmons,81897147241,"PyQt5.QtCore.QDateTime(2018, 1, 8, 16, 54, 33)",BloodPressure,101,90,0,0,0,0
Lisa,Simmons,81897147241,"PyQt5.QtCore.QDateTime(2018, 1, 8, 16, 54, 33)",Heart Rate,0,0,0,0,0,83
Lisa,Simmons,81897147241,"PyQt5.QtCore.QDateTime(2018, 1, 8, 16, 54, 33)",Heart Rate,0,0,0,0,0,61
Lisa,Simmons,81897147241,"PyQt5.QtCore.QDateTime(2018, 1, 8, 16, 54, 36)",Wellness,0,0,187,61,17,0
Lisa,Simmons,81897147241,"PyQt5.QtCore.QDateTime(2018, 1, 8, 16, 54, 39)",Wellness,0,0,183,121,36,0
Lisa,Simmons,81897147241,"PyQt5.QtCore.QDateTime(2018, 1, 8, 16, 54, 43)",Wellness,0,0,185,125,37,0
Lisa,Simmons,81897147241,"PyQt5.QtCore.QDateTime(2018, 1, 8, 16, 54, 49)",BloodPressure,116,71,0,0,0,0
Lisa,Simmons,81897147241,"PyQt5.QtCore.QDateTime(2018, 1, 8, 16, 54, 51)",Wellness,0,0,172,96,32,0
Lisa,Simmons,81897147241,"PyQt5.QtCore.QDateTime(2018, 1, 8, 16, 54, 51)",Heart Rate,0,0,0,0,0,69
Lisa,Simmons,81897147241,"PyQt5.QtCore.QDateTime(2018, 1, 8, 16, 54, 52)",Wellness,0,0,182,54,16,0
Lisa,Simmons,81897147241,"PyQt5.QtCore.QDateTime(2018, 1, 8, 16, 54, 52)",Wellness,0,0,182,55,17,0
Lisa,Simmons,81897147241,"PyQt5.QtCore.QDateTime(2018, 1, 8, 16, 54, 54)",BloodPressure,108,93,0,0,0,0
Lisa,Simmons,81897147241,"PyQt5.QtCore.QDateTime(2018, 1, 8, 16, 54, 58)",Wellness,0,0,194,89,24,0
Lisa,Simmons,81897147241,"PyQt5.QtCore.QDateTime(2018, 1, 8, 16, 54, 58)",BloodPressure,130,62,0,0,0,0
Lisa,Simmons,81897147241,"PyQt5.QtCore.QDateTime(2018, 1, 8, 16, 55, 8)",BloodPressure,117,70,0,0,0,0
Lisa,Simmons,81897147241,"PyQt5.QtCore.QDateTime(2018, 1, 8, 16, 55, 9)",Wellness,0,0,184,77,23,0
Lisa,Simmons,81897147241,"PyQt5.QtCore.QDateTime(2018, 1, 8, 16, 55, 11)",BloodPressure,116,82,0,0,0,0
Lisa,Simmons,81897147241,"PyQt5.QtCore.QDateTime(2018, 1, 8, 16, 55, 13)",BloodPressure,138,98,0,0,0,0
Lisa,Simmons,81897147241,"PyQt5.QtCore.QDateTime(2018, 1, 8, 16, 55, 14)",BloodPressure,119,72,0,0,0,0
Lisa,Simmons,81897147241,"PyQt5.QtCore.QDateTime(2018, 1, 8, 16, 55, 14)",Wellness,0,0,159,88,35,0
Lisa,Simmons,81897147241,"PyQt5.QtCore.QDateTime(2018, 1, 8, 16, 55, 16)",BloodPressure,134,75,0,0,0,0
Lisa,Simmons,81897147241,"PyQt5.QtCore.QDateTime(2018, 1, 8, 16, 55, 16)",Wellness,0,0,164,65,24,0
Lisa,Simmons,81897147241,"PyQt5.QtCore.QDateTime(2018, 1, 8, 16, 55, 24)",BloodPressure,104,81,0,0,0,0
Lisa,Simmons,81897147241,"PyQt5.QtCore.QDateTime(2018, 1, 8, 16, 55, 28)",Heart Rate,0,0,0,0,0,96
Lisa,Simmons,81897147241,"PyQt5.QtCore.QDateTime(2018, 1, 8, 16, 55, 30)",Heart Rate,0,0,0,0,0,89
Lisa,Simmons,81897147241,"PyQt5.QtCore.QDateTime(2018, 1, 8, 16, 55, 33)",Heart Rate,0,0,0,0,0,88
Lisa,Simmons,81897147241,"PyQt5.QtCore.QDateTime(2018, 1, 8, 16, 55, 35)",BloodPressure,133,91,0,0,0,0
Lisa,Simmons,81897147241,"PyQt5.QtCore.QDateTime(2018, 1, 8, 16, 55, 39)",BloodPressure,123,86,0,0,0,0
Lisa,Simmons,81897147241,"PyQt5.QtCore.QDateTime(2018, 1, 8, 16, 55, 40)",BloodPressure,124,97,0,0,0,0
Lisa,Simmons,81897147241,"PyQt5.QtCore.QDateTime(2018, 1, 8, 16, 55, 45)",BloodPressure,138,83,0,0,0,0
Lisa,Simmons,81897147241,"PyQt5.QtCore.QDateTime(2018, 1, 8, 16, 55, 46)",Wellness,0,0,188,84,24,0
Lisa,Simmons,81897147241,"PyQt5.QtCore.QDateTime(2018, 1, 8, 16, 55, 46)",Wellness,0,0,157,79,32,0
Lisa,Simmons,81897147241,"PyQt5.QtCore.QDateTime(2018, 1, 8, 16, 55, 50)",Wellness,0,0,162,105,40,0
Lisa,Simmons,81897147241,"PyQt5.QtCore.QDateTime(2018, 1, 8, 16, 55, 50)",Wellness,0,0,164,65,24,0
Lisa,Simmons,81897147241,"PyQt5.QtCore.QDateTime(2018, 1, 8, 16, 55, 51)",Heart Rate,0,0,0,0,0,100
Lisa,Simmons,81897147241,"PyQt5.QtCore.QDateTime(2018, 1, 8, 16, 55, 53)",BloodPressure,128,89,0,0,0,0
Lisa,Simmons,81897147241,"PyQt5.QtCore.QDateTime(2018, 1, 8, 16, 55, 53)",Wellness,0,0,191,69,19,0
Lisa,Simmons,81897147241,"PyQt5.QtCore.QDateTime(2018, 1, 8, 16, 55, 54)",BloodPressure,129,62,0,0,0,0
Lisa,Simmons,81897147241,"PyQt5.QtCore.QDateTime(2018, 1, 8, 16, 55, 55)",Heart Rate,0,0,0,0,0,74
Lisa,Simmons,81897147241,"PyQt5.QtCore.QDateTime(2018, 1, 8, 16, 55, 55)",Heart Rate,0,0,0,0,0,99
Lisa,Simmons,81897147241,"PyQt5.QtCore.QDateTime(2018, 1, 8, 16, 55, 58)",BloodPressure,139,90,0,0,0,0
Lisa,Simmons,81897147241,"PyQt5.QtCore.QDateTime(2018, 1, 8, 16, 55, 59)",BloodPressure,116,82,0,0,0,0
Lisa,Simmons,81897147241,"PyQt5.QtCore.QDateTime(2018, 1, 8, 16, 56)",Heart Rate,0,0,0,0,0,86
Lisa,Simmons,81897147241,"PyQt5.QtCore.QDateTime(2018, 1, 8, 16, 56)",BloodPressure,120,67,0,0,0,0
Lisa,Simmons,81897147241,"PyQt5.QtCore.QDateTime(2018, 1, 8, 16, 56, 1)",Heart Rate,0,0,0,0,0,81
Lisa,Simmons,81897147241,"PyQt5.QtCore.QDateTime(2018, 1, 8, 16, 56, 3)",Heart Rate,0,0,0,0,0,89
Lisa,Simmons,81897147241,"PyQt5.QtCore.QDateTime(2018, 1, 8, 16, 56, 4)",Wellness,0,0,162,138,53,0
Lisa,Simmons,81897147241,"PyQt5.QtCore.QDateTime(2018, 1, 8, 16, 56, 7)",Heart Rate,0,0,0,0,0,100
Lisa,Simmons,81897147241,"PyQt5.QtCore.QDateTime(2018, 1, 8, 16, 56, 7)",Heart Rate,0,0,0,0,0,89
Lisa,Simmons,81897147241,"PyQt5.QtCore.QDateTime(2018, 1, 8, 16, 56, 11)",Wellness,0,0,162,132,50,0
Lisa,Simmons,81897147241,"PyQt5.QtCore.QDateTime(2018, 1, 8, 16, 56, 14)",BloodPressure,122,77,0,0,0,0
Lisa,Simmons,81897147241,"PyQt5.QtCore.QDateTime(2018, 1, 8, 16, 56, 14)",Heart Rate,0,0,0,0,0,76
Lisa,Simmons,81897147241,"PyQt5.QtCore.QDateTime(2018, 1, 8, 16, 56, 16)",BloodPressure,102,95,0,0,0,0
Lisa,Simmons,81897147241,"PyQt5.QtCore.QDateTime(2018, 1, 8, 16, 56, 17)",Heart Rate,0,0,0,0,0,85
Lisa,Simmons,81897147241,"PyQt5.QtCore.QDateTime(2018, 1, 8, 16, 56, 18)",Heart Rate,0,0,0,0,0,79
Lisa,Simmons,81897147241,"PyQt5.QtCore.QDateTime(2018, 1, 8, 16, 56, 19)",Wellness,0,0,198,102,26,0
