Name,Surname,PESEL,Examination Date,Examination Name,Systolic Pressure,Diastolic Pressure,Body Height,Body Weight,BMI,Heart Rate
Brenda,Ray,62936407485,"PyQt5.QtCore.QDateTime(2018, 4, 21, 19, 26, 13)",Heart Rate,0,0,0,0,0,72
Brenda,Ray,62936407485,"PyQt5.QtCore.QDateTime(2018, 2, 8, 19, 26, 14)",Heart Rate,0,0,0,0,0,80
Brenda,Ray,62936407485,"PyQt5.QtCore.QDateTime(2018, 3, 31, 19, 26, 15)",Heart Rate,0,0,0,0,0,100
Brenda,Ray,62936407485,"PyQt5.QtCore.QDateTime(2018, 2, 1, 19, 26, 16)",BloodPressure,103,74,0,0,0,0
Brenda,Ray,62936407485,"PyQt5.QtCore.QDateTime(2018, 4, 4, 19, 26, 18)",BloodPressure,118,62,0,0,0,0
Brenda,Ray,62936407485,"PyQt5.QtCore.QDateTime(2018, 3, 12, 19, 26, 18)",BloodPressure,104,90,0,0,0,0
Brenda,Ray,62936407485,"PyQt5.QtCore.QDateTime(2018, 3, 18, 19, 26, 18)",BloodPressure,114,68,0,0,0,0
Brenda,Ray,62936407485,"PyQt5.QtCore.QDateTime(2018, 3, 13, 19, 26, 20)",Heart Rate,0,0,0,0,0,94
Brenda,Ray,62936407485,"PyQt5.QtCore.QDateTime(2018, 2, 18, 19, 26, 20)",BloodPressure,115,87,0,0,0,0
Brenda,Ray,62936407485,"PyQt5.QtCore.QDateTime(2018, 4, 2, 19, 26, 21)",BloodPressure,118,62,0,0,0,0
Brenda,Ray,62936407485,"PyQt5.QtCore.QDateTime(2018, 3, 27, 19, 26, 25)",Wellness,0,0,194,106,28,0
Brenda,Ray,62936407485,"PyQt5.QtCore.QDateTime(2018, 2, 8, 19, 26, 29)",Wellness,0,0,188,140,40,0
Brenda,Ray,62936407485,"PyQt5.QtCore.QDateTime(2018, 3, 28, 19, 26, 30)",BloodPressure,135,82,0,0,0,0
Brenda,Ray,62936407485,"PyQt5.QtCore.QDateTime(2018, 4, 18, 19, 26, 31)",BloodPressure,123,88,0,0,0,0
Brenda,Ray,62936407485,"PyQt5.QtCore.QDateTime(2018, 1, 31, 19, 26, 31)",Wellness,0,0,175,72,24,0
Brenda,Ray,62936407485,"PyQt5.QtCore.QDateTime(2018, 2, 12, 19, 26, 32)",Heart Rate,0,0,0,0,0,77
Brenda,Ray,62936407485,"PyQt5.QtCore.QDateTime(2018, 2, 11, 19, 26, 35)",Heart Rate,0,0,0,0,0,86
Brenda,Ray,62936407485,"PyQt5.QtCore.QDateTime(2018, 1, 28, 19, 26, 36)",Heart Rate,0,0,0,0,0,80
Brenda,Ray,62936407485,"PyQt5.QtCore.QDateTime(2018, 4, 21, 19, 26, 36)",Heart Rate,0,0,0,0,0,78
