Name,Surname,PESEL,Examination Date,Examination Name,Systolic Pressure,Diastolic Pressure,Body Height,Body Weight,BMI,Heart Rate
Emily,George,51710675312,"PyQt5.QtCore.QDateTime(2018, 1, 30, 19, 34, 35)",Heart Rate,0,0,0,0,0,85
Emily,George,51710675312,"PyQt5.QtCore.QDateTime(2018, 1, 26, 19, 34, 37)",Heart Rate,0,0,0,0,0,76
Emily,George,51710675312,"PyQt5.QtCore.QDateTime(2018, 2, 13, 19, 34, 39)",Heart Rate,0,0,0,0,0,79
Emily,George,51710675312,"PyQt5.QtCore.QDateTime(2018, 3, 23, 19, 34, 41)",Heart Rate,0,0,0,0,0,79
Emily,George,51710675312,"PyQt5.QtCore.QDateTime(2018, 3, 7, 19, 34, 43)",Heart Rate,0,0,0,0,0,96
Emily,George,51710675312,"PyQt5.QtCore.QDateTime(2018, 2, 3, 19, 34, 45)",Heart Rate,0,0,0,0,0,77
Emily,George,51710675312,"PyQt5.QtCore.QDateTime(2018, 4, 13, 19, 34, 47)",Heart Rate,0,0,0,0,0,92
Emily,George,51710675312,"PyQt5.QtCore.QDateTime(2018, 4, 12, 19, 34, 49)",Heart Rate,0,0,0,0,0,63
Emily,George,51710675312,"PyQt5.QtCore.QDateTime(2018, 3, 5, 19, 34, 51)",Heart Rate,0,0,0,0,0,84
Emily,George,51710675312,"PyQt5.QtCore.QDateTime(2018, 4, 5, 19, 34, 53)",Heart Rate,0,0,0,0,0,74
Emily,George,51710675312,"PyQt5.QtCore.QDateTime(2018, 4, 6, 19, 34, 55)",Heart Rate,0,0,0,0,0,70
Emily,George,51710675312,"PyQt5.QtCore.QDateTime(2018, 4, 23, 19, 34, 57)",Heart Rate,0,0,0,0,0,74
Emily,George,51710675312,"PyQt5.QtCore.QDateTime(2018, 3, 16, 19, 34, 59)",Heart Rate,0,0,0,0,0,74
Emily,George,51710675312,"PyQt5.QtCore.QDateTime(2018, 2, 14, 19, 35, 1)",Heart Rate,0,0,0,0,0,67
Emily,George,51710675312,"PyQt5.QtCore.QDateTime(2018, 4, 6, 19, 35, 3)",Heart Rate,0,0,0,0,0,77
Emily,George,51710675312,"PyQt5.QtCore.QDateTime(2018, 4, 28, 19, 35, 5)",Heart Rate,0,0,0,0,0,70
Emily,George,51710675312,"PyQt5.QtCore.QDateTime(2018, 3, 7, 19, 35, 8)",Heart Rate,0,0,0,0,0,89
Emily,George,51710675312,"PyQt5.QtCore.QDateTime(2018, 1, 31, 19, 35, 10)",Heart Rate,0,0,0,0,0,91
Emily,George,51710675312,"PyQt5.QtCore.QDateTime(2018, 3, 10, 19, 35, 12)",Heart Rate,0,0,0,0,0,84
Emily,George,51710675312,"PyQt5.QtCore.QDateTime(2018, 5, 6, 19, 35, 14)",Heart Rate,0,0,0,0,0,82
Emily,George,51710675312,"PyQt5.QtCore.QDateTime(2018, 4, 6, 19, 35, 16)",Heart Rate,0,0,0,0,0,81
Emily,George,51710675312,"PyQt5.QtCore.QDateTime(2018, 2, 11, 19, 35, 18)",Heart Rate,0,0,0,0,0,65
Emily,George,51710675312,"PyQt5.QtCore.QDateTime(2018, 3, 13, 19, 35, 20)",Heart Rate,0,0,0,0,0,67
Emily,George,51710675312,"PyQt5.QtCore.QDateTime(2018, 4, 20, 19, 35, 22)",Heart Rate,0,0,0,0,0,87
Emily,George,51710675312,"PyQt5.QtCore.QDateTime(2018, 4, 29, 19, 35, 24)",Heart Rate,0,0,0,0,0,85
Emily,George,51710675312,"PyQt5.QtCore.QDateTime(2018, 4, 20, 19, 35, 26)",Heart Rate,0,0,0,0,0,72
Emily,George,51710675312,"PyQt5.QtCore.QDateTime(2018, 2, 10, 19, 35, 28)",Heart Rate,0,0,0,0,0,68
Emily,George,51710675312,"PyQt5.QtCore.QDateTime(2018, 1, 28, 19, 35, 30)",Heart Rate,0,0,0,0,0,96
Emily,George,51710675312,"PyQt5.QtCore.QDateTime(2018, 2, 26, 19, 35, 32)",Heart Rate,0,0,0,0,0,72
Emily,George,51710675312,"PyQt5.QtCore.QDateTime(2018, 4, 27, 19, 35, 34)",Heart Rate,0,0,0,0,0,100
Emily,George,51710675312,"PyQt5.QtCore.QDateTime(2018, 2, 23, 19, 35, 36)",Heart Rate,0,0,0,0,0,78
Emily,George,51710675312,"PyQt5.QtCore.QDateTime(2018, 3, 26, 19, 35, 38)",Heart Rate,0,0,0,0,0,61
Emily,George,51710675312,"PyQt5.QtCore.QDateTime(2018, 3, 15, 19, 35, 40)",Heart Rate,0,0,0,0,0,82
Emily,George,51710675312,"PyQt5.QtCore.QDateTime(2018, 3, 26, 19, 35, 42)",Heart Rate,0,0,0,0,0,94
Emily,George,51710675312,"PyQt5.QtCore.QDateTime(2018, 1, 30, 19, 35, 44)",Heart Rate,0,0,0,0,0,94
Emily,George,51710675312,"PyQt5.QtCore.QDateTime(2018, 3, 4, 19, 35, 46)",Heart Rate,0,0,0,0,0,67
Emily,George,51710675312,"PyQt5.QtCore.QDateTime(2018, 4, 26, 19, 35, 48)",Heart Rate,0,0,0,0,0,99
Emily,George,51710675312,"PyQt5.QtCore.QDateTime(2018, 2, 1, 19, 35, 50)",Heart Rate,0,0,0,0,0,81
Emily,George,51710675312,"PyQt5.QtCore.QDateTime(2018, 3, 24, 19, 35, 52)",Heart Rate,0,0,0,0,0,87
Emily,George,51710675312,"PyQt5.QtCore.QDateTime(2018, 2, 26, 19, 35, 54)",Heart Rate,0,0,0,0,0,71
Emily,George,51710675312,"PyQt5.QtCore.QDateTime(2018, 3, 15, 19, 35, 56)",Heart Rate,0,0,0,0,0,98
Emily,George,51710675312,"PyQt5.QtCore.QDateTime(2018, 4, 5, 19, 35, 58)",Heart Rate,0,0,0,0,0,61
Emily,George,51710675312,"PyQt5.QtCore.QDateTime(2018, 4, 3, 19, 36)",Heart Rate,0,0,0,0,0,67
Emily,George,51710675312,"PyQt5.QtCore.QDateTime(2018, 4, 28, 19, 36, 2)",Heart Rate,0,0,0,0,0,73
Emily,George,51710675312,"PyQt5.QtCore.QDateTime(2018, 4, 29, 19, 36, 4)",Heart Rate,0,0,0,0,0,76
Emily,George,51710675312,"PyQt5.QtCore.QDateTime(2018, 3, 10, 19, 36, 6)",Heart Rate,0,0,0,0,0,60
Emily,George,51710675312,"PyQt5.QtCore.QDateTime(2018, 4, 11, 19, 36, 8)",Heart Rate,0,0,0,0,0,89
Emily,George,51710675312,"PyQt5.QtCore.QDateTime(2018, 4, 2, 19, 36, 10)",Heart Rate,0,0,0,0,0,76
Emily,George,51710675312,"PyQt5.QtCore.QDateTime(2018, 2, 28, 19, 36, 12)",Heart Rate,0,0,0,0,0,93
